id,posted_date,submitter,organization,last_name,first_name,title,text_file,attachment_files
COLC-2015-0012-0103,2016-10-28T04:00:00Z,Society of American Archivists,Society of American Archivists,McGovern,Nancy,Additional Comments - Society of American Archivists,COLC-2015-0012-0103_Society-of-American-Archivists_comment.txt,COLC-2015-0012-0103_Society-of-American-Archivists_0900006482349384.pdf
COLC-2015-0012-0102,2016-10-28T04:00:00Z,"Author Services, Inc.","Author Services, Inc.",Hawkins,Ryland,"Additional Comments - Author Services, Inc.",COLC-2015-0012-0102_Author-Services-Inc._comment.txt,COLC-2015-0012-0102_Author-Services-Inc._090000648233826d.pdf
COLC-2015-0012-0104,2016-10-28T04:00:00Z,Mozilla,Mozilla,Riley,Chris,Additional Comments - Mozilla,COLC-2015-0012-0104_Mozilla_comment.txt,COLC-2015-0012-0104_Mozilla_090000648234a017.pdf
COLC-2015-0012-0118,2016-10-28T04:00:00Z,Electronic Frontier Foundation,Electronic Frontier Foundation,Stoltz,Mitchell,Additional Comments - Electronic Frontier Foundation,COLC-2015-0012-0118_Electronic-Frontier-Foundation_comment.txt,COLC-2015-0012-0118_Electronic-Frontier-Foundation_0900006482359890.pdf
COLC-2015-0012-0117,2016-10-28T04:00:00Z,BSA | The Software Alliance,BSA | The Software Alliance,Troncoso,Christian,Additional Comments - BSA | The Software Alliance,COLC-2015-0012-0117_BSA-The-Software-Alliance_comment.txt,COLC-2015-0012-0117_BSA-The-Software-Alliance_09000064823596f8.pdf
COLC-2015-0012-0129,2016-10-28T04:00:00Z,DVD CCA and AACS LA,DVD CCA and AACS LA,Turnbull,Bruce,"Additional Comments - DVD CCA, AACS LA",COLC-2015-0012-0129_DVD-CCA-and-AACS-LA_comment.txt,COLC-2015-0012-0129_DVD-CCA-and-AACS-LA_090000648235a195.pdf
COLC-2015-0012-0109,2016-10-28T04:00:00Z,Copyright Alliance,Copyright Alliance,Hart,Terry,Additional Comments - Copyright Alliance,COLC-2015-0012-0109_Copyright-Alliance_comment.txt,COLC-2015-0012-0109_Copyright-Alliance_09000064823587ce.pdf
COLC-2015-0012-0133,2016-11-17T05:00:00Z,Horton-Micheal,,Horton,Micheal,"Additional Reply Comments - Horton, Michael",COLC-2015-0012-0133_Horton-Micheal_comment.txt,COLC-2015-0012-0133_Horton-Micheal_0900006482375a58.docx|COLC-2015-0012-0133_Horton-Micheal_0900006482375a58.pdf
COLC-2015-0012-0137,2016-11-17T05:00:00Z,New York Intellectual Property Law Association,New York Intellectual Property Law Association,Hanley,Walter,Additional Reply Comments - New York Intellectual Property Law Association,COLC-2015-0012-0137_New-York-Intellectual-Property-Law-Association_comment.txt,COLC-2015-0012-0137_New-York-Intellectual-Property-Law-Association_090000648239afb3.pdf
COLC-2015-0012-0135,2016-11-17T05:00:00Z,Auto Care Association,Auto Care Association,Lowe,Aaron,Additional Reply Comments - Auto Care Association,COLC-2015-0012-0135_Auto-Care-Association_comment.txt,COLC-2015-0012-0135_Auto-Care-Association_090000648239a218.pdf
COLC-2015-0012-0094,2016-10-28T04:00:00Z,Schechter-Michael,,Schechter,Michael,"Additional Comments - Schechter, Michael",COLC-2015-0012-0094_Schechter-Michael_comment.txt,
